Separator 	 %% 	 1 
Keyword 	 int 	 2 
Identifier 	 a 	 2 
Separator 	 , 	 2 
Identifier 	 b 	 2 
Separator 	 , 	 2 
Identifier 	 c 	 2 
Separator 	 , 	 2 
Identifier 	 x 	 2 
Separator 	 ; 	 2 
Keyword 	 integer 	 3 
Identifier 	 i 	 3 
Separator 	 , 	 3 
Identifier 	 max 	 3 
Separator 	 , 	 3 
Identifier 	 sum 	 3 
Separator 	 ; 	 3 
Keyword 	 boolean 	 4 
Identifier 	 flag 	 4 
Separator 	 ; 	 4 
Identifier 	 sum 	 5 
Operator 	 := 	 5 
Integer 	 0 	 5 
Separator 	 ; 	 5 
Identifier 	 i 	 6 
Operator 	 := 	 6 
Integer 	 1 	 6 
Separator 	 ; 	 6 
Keyword 	 read 	 7 
Separator 	 ( 	 7 
Identifier 	 max 	 7 
Separator 	 ) 	 7 
Separator 	 ; 	 7 
Keyword 	 while 	 8 
Separator 	 ( 	 8 
Identifier 	 flag 	 8 
Operator 	 = 	 8 
Integer 	 1 	 8 
Separator 	 ) 	 8 
Separator 	 { 	 8 
Identifier 	 sum 	 9 
Operator 	 := 	 9 
Identifier 	 sum 	 9 
Operator 	 + 	 9 
Identifier 	 i 	 9 
Separator 	 ; 	 9 
Identifier 	 i 	 10 
Operator 	 := 	 10 
Identifier 	 i 	 10 
Operator 	 + 	 10 
Integer 	 1 	 10 
Separator 	 ; 	 10 
Keyword 	 read 	 11 
Separator 	 ( 	 11 
Identifier 	 max 	 11 
Separator 	 ) 	 11 
Separator 	 ; 	 11 
Identifier 	 x 	 12 
Operator 	 := 	 12 
Identifier 	 a 	 12 
Operator 	 + 	 12 
Identifier 	 b 	 12 
Operator 	 * 	 12 
Identifier 	 c 	 12 
Separator 	 ; 	 12 
Keyword 	 if 	 14 
Separator 	 ( 	 14 
Identifier 	 a 	 14 
Operator 	 < 	 14 
Identifier 	 b 	 14 
Separator 	 ) 	 14 
Identifier 	 a 	 15 
Operator 	 := 	 15 
Identifier 	 c 	 15 
Separator 	 ; 	 15 
Keyword 	 else 	 16 
Identifier 	 b 	 17 
Operator 	 := 	 17 
Identifier 	 c 	 17 
Separator 	 ; 	 17 
Keyword 	 fi 	 18 
Separator 	 } 	 20 
Keyword 	 write 	 21 
Separator 	 ( 	 21 
Identifier 	 sum 	 21 
Operator 	 + 	 21 
Identifier 	 max 	 21 
Separator 	 ) 	 21 
Separator 	 ; 	 21 
